"id","date","timepoint","site","treat","group","CO2.flux.mass","CO2.flux.area","CO2.mol.rate","CO2.r2","CH4.flux.mass","CH4.flux.area","CH4.mol.rate","CH4.r2"
"HFUDA1","2016-06-20","time_0","HFUD","A","HFUDA",-0.0978476870331378,NA,-7.93426962215467e-07,0.98315389665417,0.0195622807840813,NA,1.58626549969067e-10,0.059887338998063
"HFUDA2","2016-06-20","time_0","HFUD","A","HFUDA",-0.0286859288254568,NA,-2.32674756028706e-07,0.882344256120241,0.00697693883511505,NA,5.65907261070443e-11,0.0149064588736432
"HFUDA3","2016-06-20","time_0","HFUD","A","HFUDA",-0.0035931560427546,NA,-2.90945829573046e-08,0.0707925439445399,0.0215123435489206,NA,1.74190226236399e-10,0.116927856215224
"HFUDB1","2016-06-20","time_0","HFUD","B","HFUDB",-0.0377670713811914,NA,-3.05895793432381e-07,0.907754615328726,-0.0122978435363432,NA,-9.96068391982987e-11,0.0234854254733968
"HFUDB2","2016-06-20","time_0","HFUD","B","HFUDB",-0.0406864232702509,NA,-3.3010628139405e-07,0.892816820565321,0.00317623754025476,NA,2.57701680060021e-11,0.00236131263943433
"HFUDB3","2016-06-20","time_0","HFUD","B","HFUDB",-0.0141381739691079,NA,-1.14643572717095e-07,0.593529963074227,0.0239555974740731,NA,1.94251060073329e-10,0.162226379656727
"HFUDC1","2016-06-20","time_0","HFUD","C","HFUDC",-0.0211863424312393,NA,-1.71648607660504e-07,0.752023995438235,-0.00131426642707101,NA,-1.0647991885992e-11,0.00048279007537961
"HFUDC2","2016-06-20","time_0","HFUD","C","HFUDC",-0.173333031228352,NA,-1.40191113683301e-06,0.990274213627366,0.0131161321388844,NA,1.06082790956625e-10,0.049774489014851
"HFUDC3","2016-06-20","time_0","HFUD","C","HFUDC",-0.275286972382027,NA,-2.23224598207e-06,0.99391399609059,0.0327509737729652,NA,2.65570974830318e-10,0.240406461117865
"HFUHA1","2016-06-20","time_0","HFUH","A","HFUHA",-0.144251515078912,NA,-1.17004006675118e-06,0.98655607434654,0.00738128778164062,NA,5.98704453399739e-11,0.0119851961922839
"HFUHA2","2016-06-20","time_0","HFUH","A","HFUHA",-0.0943729763942277,NA,-7.65469697419847e-07,0.958893650608323,0.0121448186768661,NA,9.85079737123582e-11,0.0141152729227752
"HFUHA3","2016-06-20","time_0","HFUH","A","HFUHA",-0.026706567780731,NA,-2.16372655630922e-07,0.80634982541585,2.7572022970307e-05,NA,2.23384445361284e-13,2.13812349567442e-07
"HFUHB1","2016-06-20","time_0","HFUH","B","HFUHB",-0.41268556060683,NA,-4.01317601877151e-06,0.998587116506764,0.00944372231855246,NA,9.18358274542567e-11,0.0545758514717423
"HFUHB2","2016-06-20","time_0","HFUH","B","HFUHB",-0.238911184480347,NA,-1.937282127858e-06,0.990434214072593,0.0445407997560831,NA,3.61172272096202e-10,0.154236666311665
"HFUHB3","2016-06-20","time_0","HFUH","B","HFUHB",-0.0504850963829537,NA,-4.09256498919222e-07,0.894940602704277,0.0110891866465254,NA,8.98942861947503e-11,0.0224241159049887
"HFUHC1","2016-06-20","time_0","HFUH","C","HFUHC",-0.00752286348495912,NA,-6.09839535285343e-08,0.311886967525468,-0.00778617901600202,NA,-6.31185160047201e-11,0.0183339981204856
